access,aerial_photograph,architecture,botany_chk,bridge_chk,building_chk,church_chk,dam_chk,chipped_stone,condition,description_environment,description_position,easting,elevation,entered_by,entered_date,extraction_chk,geomorphology_chk,ground_stone_chk,hellenistic_or_roman_chk,iron_age_chk,intensive_survey_zone,kiln_chk,lithics_chk,locality,mine_adit_chk,medieval_or_ottoman_chk,modern_chk,northing,other_structure_chk,plot_village,posi_no,pottery,pottery_chk,prehistoric_chk,recorded_by,recorded_date,posi_references,road_chk,rock_chk,settlement_chk,shrine_chk,sheet_map_1_5000,village_plan,sia_number,sketch_chk,slag,slag_chk,source,summary,team_leader,threshing_floor_chk,tile,tomb_chk,topography,vegetation,view_chk,village,visibility_percent
"Gravel road from north leading to homestead, tractor trail from homestead to terrace cut",,None,No,No,No,No,No,Some,Stable,"Modern agricultural terrace on steep river bank. The cut was exposed, within the last two years, by bulldozing to flatten land for farming. Total height of section c. 2.25 m Elevation at base of section c. 323 m asl (GPS)Elevation of modern stream channel c. 311.5 m asl (GPS)Total width of section = at least 40 ms. The stratigraphy is clearest in the middle 9 meters, and is described below.","Sequence of flood deposits (11.5 m above modern stream channel) visible in bulldozed terrace cut above the Karkotis river, containing small isolated pieces of charcoal; animal bone fragments; and abundant pottery sherds. Pottery sherds are present throughout the section above Unit I (PU01), but most notably in the basal lag deposits of the upper four units. Stratigraphy (described from base to ground surface).Note: This fill-terrace sequence occupies the center of a paleo-topographic low. Cross-cutting relationships between units are evident near the channel margins, but are obscured by pedogenesis and erosion.0- 63: Unit I (PU01) : Gravelly alluvium and colluvium; carbonate-cemented channel deposits 7.5YR4/6 dry; hard; massive; gravelly carbonate-cemented silt; 20% angular fine gravel-sized and cobble-sized clasts; percent gravel increases slightly upwards. Pedogenic carbonate present throughout the unit as thin, horizontal streamers (K46), generally thicker (up to 2 cm) in the lower 20 centimeters of the unit and varies to complete saturation (Ku) towards paleochannel margins. Manganese stains common along cracks and pores throughout the unit. Smooth, very abrupt upper contact (erosional unconformity). Near the channel margins, this unit grades into mixed alluvium and regolith - clasts consist largely of angular, slightly-weathered basalt.63-117 Unit II and III: Channel and overbank alluvium; flood deposits.63-77 Unit II (PU02) Channel lag deposit. 10YR4/3 dry; massive; SCL; 30% subrounded, coarse(65mm) gravel-sized clasts, including, bone, ceramics, and charcoal; clast lithology includes basalt and also dunite, graniodiorite, and gabbro; inclusions of channel cobble lag deposits; clear wavy upper contact.77-117 Unit III (PU03) overbank flood deposits, subsequent pedogenesis and burial = 3ABb. 10YR4/2 dry; weak medium subangular blocky structure; Gravelly SiCL; 10% fine to medium poorly to well-rounded gravel-sized clasts; many very fine pores; poor sorting (mixing) of clast sizes suggest possible agricultural use or extensive pedoturbation; abrupt, smooth upper contact (erosional unconformity). Laterally, this unit tapers out along paleochannel margins; pedogenesis obscures contact with Unit I.117-207 Unit IV (PU04): Small channel and overbank alluvium; flood deposits.thin carbonate coatings (K1), few fine roots, 20% very fine gravel  throughout; basal 3 cm = lag of very fine gravel containing pottery sherds and manganese stains. upper 10cm = 7.5YR 4/6 dry; massive reddish sand; abundant redoximorphic features (diffuse irregular iron masses/mottles) throughout upper 10 centimeters; possible lateral channelform morphology; clear, wavy upper contact (erosional unconformity). This unit is not laterally extensive, and pinches out near channel margins.207-244 Unit V (PU05): Recent colluvium and anthropogenic fill sediments.Upper 20 cm are 2.5Y 5/3 dry; weak soil profile development (A, 0-20 cm; AC 20-37 cm); Carbonate rip-up cobbles (similar to saturated portions of Unit I) demarcate basal channel lag; near paleochannel margins, continual pedogenesis blurs the contact between these sediments and the lower, incised strata. Soil Profile Interpretation (measured from surface down)A 0 - 20 cmAC 20 - 372C 37 - 1193ABb 119 - 1643Cb 164-1734Crk 173-2375R depth variable",489662.00,323.00,ATB,4/7/2004 00:00:00,No,Yes,Some,No,No,,No,Yes,Langouphes,No,No,No,3879422.00,No,,TP246,Abundant,Yes,Yes,CRR,30/6/2004 00:00:00,,No,No,No,No,,,TS06,Yes,None,No,GPS,Section showing sequence of flood deposits with artefacts,JSN,No,None,No,Steep alluvial terrace proximal to river,Fallow plowed field,No,Phlasou,90.00
Track 20 m away,63-38-037,None,No,No,No,No,Yes,Some,,"FIRST VISIT (HPS, LHS, ESG, DWJ, SEZ, EJI, 26/6/00). Water 500 m to east Arable fields 150 m to east. Topography: terraced hill east face. Army exercises (abandoned) - furrowed army trenches dug against retaining slopes (edge of terraces) with many empty cartridges. 'Scooped' depression - fairly circular across much of top terrace.SECOND VISIT (ERG & co, 28/6/00): Geomorphology recorded on paper form as AVB (Alluvium Basalt). Alluvial deposited plateau (old river bed). Arid soil with little 'holding' capacity. Unusual vegetation, 'desert-like' dominance of genista. Prominent position overlooking current river Karkotis, Linou, Flasou, Kato Flasou. Visibility - north, east and south east and south","FIRST VISIT: 3 course boulder constructed cemented with mud gravel visible in place - some lime plaster around - some huge boulders. Surface - Round Gravel/Clay-Silt; Slope - 6-10 degrees; Aspect - East.SECOND VISIT: Pottery: semi coarse, mostly small pieces; 1 piece tile. Chipped stone: 2 pieces - 1 possibly worked, 1 unknown. Surface character: large cobbles some over 0.30 m. Aspect: good visibility with slope facing east. Visibility: light grass and moss. Terrace: Alternating large boulders and smaller cobbles facing east; 60 m long following contour with 'kink' in middle; some 1 & 2 course wall. Depressions: 10 m diameter average; 3 circular; most southerly depression outlined with large and small boulders; 1 rectangular (eastern-most, nearest to terrace) - 50 long x 7 m",489228.00,344.00,LHS,17/5/2001 00:00:00,No,Yes,None,No,No,Karkotis,No,No,Apatoes 1,No,Yes,Yes,3880226.00,No,,TP001,Some,No,No,ESG,28/6/2000 00:00:00,,No,No,No,No,28-XX,,,No,None,No,GPS,"Shallow depressions, terrace wall of large boulders",ESG,No,Some,No,Mesa / Plateau,"Spiney burnet, tetragonia, wild barley, centaura",No,Ayios Epiphanios,60.00
"Along unpaved track directly from new road to Kykko, west of Katydhata",63-38-038,Abundant,No,No,Yes,Yes,No,Some,Most walls of church still standing,Built into the edge of a fallow alluvial terrace which is now split by a gravel road. Its northern foundations are built into the earthen terrace riser itself. Below (north) of church are alluvial/anthropogenic terraces cultivated with grain.,"CHURCH (BU0103)Part of south eastpart of apse preserved. It may have had a vaulted stone roof. Walls are thick: 1-1.5 m. Extensive use of sherds in interior plaster: pottery, glazed Byzantine (brown); tile, dark red 'cover and pen' tiles; chipped stone and ground stone in walls bound with thick lime/ash mortar.Wall - south corner of possible enclosure wall is preserved. Circular grindstone, probably for cereal, to northwest of church. Modern garbage and burning on its terrace. VILLAGE (recorded  by YHD; information given July 2005)Cadastral plots:135: BVM church331-2: Northern part, sherds247: Ayios Epiphanios church251: few sherds; close to church250: sherds in eastern part; western part mainly Greco-Roman224: substantial number of sherds, especially southern corner. Including sugar mould (D-458-22.jpg, D-458-23.jpg; cf. Brigitte-Poree 1995: 496-7; Papanikola-Bakirtzis and Solomidou-Ieronymidou 1998: 264 (from Sarayia)). Mould found in bank along edge of road at 489130/3880921 (plot 250?). 223: few sherds258: building foundation on hillside under lone pine tree. Sgraffito pottery from here: D-458-26.jpg (= TP254)213:substantial number of sherds(Note also the ruined Panayia church (TP251): Cadastral Plot 135Visit with YHD & MJG, 13 July 2005. Tombs c. 40 m NW of Ayios Epiphanios church; lots of Roman tile in field with large basalt outcrop on eastern side of it. Church: unclear structure immediately across road; otherwise a clear gap of little or no Medieval pottery for 50-100 m away from it towards south.",489103.00,300.00,LHS,17/5/2001 00:00:00,No,No,Some,No,No,Karkotis,No,No,Paleokklishia,No,Yes,No,3880948.00,No,,TP002,Abundant,Yes,No,ESG,26/6/2000 00:00:00,,No,No,No,No,28-XX,,,Yes,None,No,GPS,Ruined church and Medieval village of Ayios Epiphanios,ESG,No,Some,No,On eastern face of spur north of AyiosEpiphanios village,"Grain - wild oats, scrub. Vegetation of waste ground, but characterised by a high proportion of 'domestic' and medicinal plants. See report in 'Reports - Geobotany'",No,Ayios Epiphanios,20.00
20 m S from track coming up from Panayia church,63-48-132,None,No,No,No,No,No,None,,Geomorphology recorded as DI on paper form. Identified from Aerial photograph. Surface - Angular Gravel/Loam; Slope - 11-20 degrees; Aspect - South.,Bedrock close to surface at S end. Scatter of used military (7.62 mm) cartridges at S end - very weathered,490833.00,374.00,LHS,17/5/2001 00:00:00,No,No,None,No,No,Karkotis,No,No,Kourtellolaona,No,No,No,3880332.00,No,,TP003,None,No,No,HPS,27/6/2000 00:00:00,,No,No,No,No,28-XXI,,,Yes,None,No,GPS,Ovoid mound with defined edges. Appears man made. Approx. 10 x 15 m,HPS,No,None,No,Hillside-Soil/Plant Cover,"No cereals actually on POSI - but in surrounding area, arable fields 30 m away. Vegetation very sparse, major bare areas but with clumps of thyme, asphodel, grasses (tussocks)",No,Phlasou,80.00
Small section of old road to south of modern road,,Abundant,No,Yes,No,No,No,None,,,"Two spans. Rectangular cut stone blocks; some stone robbed from upper courses of parapet.Wall retaining bank constructed from river boulder - some dry stone, some mortared. 25 x 4 m. Long axis NE/SWBuilt under supervision of Edward Nicolls (Divisional Engineer) in 1900, as part of the Nicosia-Troodos road. See Nicolls' report dated 22/2/1901, in State Archives SA1/1922/1899. (MJG, 5/6/01)",492712.00,312.00,LHS,17/5/2001 00:00:00,No,No,None,No,No,Atsas,No,No,Atsas,No,No,Yes,3880646.00,No,,TP004,None,No,No,LHS,29/6/2000 00:00:00,State Archives SA1/1922/1899,No,No,No,No,28-XXI,,,No,None,No,GPS,Stone bridge on stretch of disused road,LHS,No,None,No,River channel/bed,Various trees and shrubs in river channel and on banks; bamboo,No,Evrykhou,
Via very steep and unmaintained gravel road,,None,No,No,No,No,No,None,,Geomorphology described as PL on paper form (pillow lava?),Photographs taken/owned by ABK - Print/Colour. WSW face very eroded (photo) - possible ancient adits (??) but completely eroded.,502100.00,600.00,LHS,17/5/2001 00:00:00,Yes,No,None,No,No,Xyliatos,No,No,Alestos,Yes,No,Yes,3877000.00,No,,TP005,None,No,No,ABK,30/6/2000 00:00:00,,No,No,No,No,29-XXVI,,,No,None,No,"1:50,000","Modern open-cast, with acid lake. Ruined remnants of mining operation.",ABK,No,None,No,Hillside-Bedrock,Pinus Brutia,No,Ayios Yeoryios,100.00
Near to track heading south from Mandres,63-48-112,Some,No,No,Yes,No,Yes,,"Buildings fairly complete - some damage due to military exercises, outer structures destroyed",,Vicinity of BU0006 and BU0005. These buildings have some terraces still visible  but not as detailed enclosures as seen on the aerial photographs. These have been ploughed through.,495820.00,280.00,EAS,17/7/2001 00:00:00,No,No,,No,No,Mandres,No,No,Mnimata,No,Yes,Yes,3881310.00,No,,TP018,,No,No,HFJ,17/7/2001 00:00:00,2001 Field Report,No,No,No,No,28-XXIII,,TS07,No,,No,Image Print,Outlying buildings approx. 300 m south of Mandres,HFJ,No,,No,Gently sloping to north,"Surrounded by cultivated crops, grass",No,Kato Koutraphas,
Beside road to Ayios Theodoros,,Abundant,No,No,No,No,No,None,Kiln in good condition; fairly recently fallen into disuse,"Bulldozed terrace above road (though probably bulldozed after construction of kiln). Water cistern immediately opposite road, and river 50 m NE. Faces NE","Tile kiln made of fired brick, with mud plaster and lime plaster on outside. At least 3 layers of (fired) mud plaster on inside. Floor pierced by 22 holes, each c. 15 x 25 cm, supported on brick arches with fire chamber below. No signs of roof.  Collapsed structure to S with corrugated iron roof and wood frame. Samples taken by MJG (8/7/01) and LHS & Ian Evans (several days later)",492335.00,380.00,MJG,8/7/2001 00:00:00,No,No,None,No,No,,Yes,No,Vatherou,No,No,Yes,3879155.00,No,,TP019,Some,No,No,MJG,8/7/2001 00:00:00,,No,No,No,No,28-XXI,,,Yes,None,No,GPS,Tile and brick kiln,MJG,No,Abundant,No,River terrace,Wild oats and grasses,No,Ayios Theodhoros,70.00
Forest track heading to Kapoura from saddle south of Kakos Anemos,,Abundant,No,No,Yes,Yes,No,None,Long ruined (not unlike Vouni/TP031 or Mitsero Mavrovounos),Slopes above and around the spur covered with pine and Quercus alnifolia. No obvious views across the landscape - but the trees are large and old on the spur. Huge amount of Quercus alnifolia on hillslopes all around - especially to south. Large amount of rhizocarpentinae (green lichen) on stones of church - especially east facing tumble beyond apse.,"Taken there by Panayiotis Loppas. This is what he told us about it; needs revisiting and recording properly. People went from Aspri to work at Foukassa. Houses partitioned (like those of Mandres tous Jerenides and Pera Yitonia (TP038, TP039)) and divided to separate inhabitants from the animals (goats). Water can be found on the mountain top. His father spent 6 months a year with his goats at Aspri. It was ruined then, though the walls were rather higher; it's probably 400 years old. His father laid pine logs and branches over the walls as a roof. The goats grazed; they liked the urtica leaves. Then they would move on to Asinou or Karterouni; once the goats had eaten the food there, they would move on again. They spent 6 months in each place. The whole area had grapes, figs, and ????fa (zizifa; Zizyphus spinochristi?): with the zizifa they would eat the fruit, cut the stone on each side, put a hole through for string, and use it as a worry bead. He was here in 1941-42. There were lots of old sherds, with colours [like a 15-16c sgraffito base we found]: they put oil and a wick in them, and used them for lamps. His father told him, 'Don't break them, leave them here for next year.' The church was full of coloured glazed vessels [like the sgraffito base, which came from the same place]. Now they've bulldozed it totally, to make the water tank and the bulldozed terrace it sits on. It had a paved floor. The apse was on the east side, on the edge of the bulldozed terrace. It was the church of Ayios Efxivios. The icon of Ayios Efxivios was taken to the church at Astromeritis. 100 year old pine in middle of settlement; grew up since the settlement. [Ribbed pithos from church site] His grandfather, from his grandfather, remembers that there used to be 8,000 people at this settlement. [Water trough by tank has '19/7/91 ???T? ?????' inscribed in concrete27 July 2003.Returned after two years to record Aspri more fully - LHS with SMJ, CSA & AKR. Whether anything ever stood where the water tank now stands (See 2001 POSI Record, above) I don't know, but the ruins of a church sit at the NE end of the spur. The walls of the church stand 2-3 courses high - several good stretches of face on interior and exterior and at least one good corner. No signs of current religious activity. An area of settlement is spread along the middle section of the spur, on both sides of the ridge. Nowhere is this area as clear as the church. Toward the road, the settlement area is truncated by the bulldozed platform now graced by the water tank and a partridge cage.",497170.00,959.00,MJG,8/9/2001 00:00:00,No,No,None,No,No,Asinou,No,No,Aspri,No,Yes,No,3874160.00,No,,TP066,Some,No,No,MJG,30/8/2001 00:00:00,Northing 3874160,No,No,Yes,No,37-VII,,,No,None,No,GPS,Abandoned late Medieval village with church,MJG,No,Abundant,No,High spur-ridge,"Pine, terebinth, asphodel, cistus, Quercus alnifolia, rhizocarpen tiniae",No,Ayios Yeoryios,
Spilia-Ayios Theodhoros road; stop by cistern/old bend in road,,Abundant,No,No,No,No,No,None,One structure still has  most of a roof on its upper floor; rest are mostly walls standing to 1-2 m.,"Cadastral Plot numbers 79-117, 166-182.East side of Kourdhali Valley, on steep west-facing slope. Spur on north; gully then high spur on S. This facet of the hillslope (caused by old landslide?) has lush green vegetation, with an abrupt line between that and the thin-soiled forest floor on S, E and N. Lower of this 'facet' is intensively terraced; plus a few more areas down nearer the river. So very restricted arable land to exploit.","Central cluster of structures, with a few outliers. Impressive and complex terracing. Access from the west is awkward, involving scrambling up terrace walls; note the path skirting round the spur on the south. Terrace continue further to the west, as far as the river. Forest cairn on spur to south is very visible from the settlement (though I couldn't see any others). Some mapping in 2003.",493360.00,730.00,MJG,15/3/2002 00:00:00,No,No,None,No,No,,No,No,Karterouni,No,Yes,Yes,3873340.00,No,,TP067,Some,No,No,MJG,15/3/2002 00:00:00,,No,No,Yes,No,,,TS14,Yes,None,No,GPS,Karterouni abandoned settlement,MJG,No,Some,No,Hillslope,"Thick grass, ?fennel, fig, terebinth, almond, olive, eucalypt",No,Ayios Theodhoros,10.00
Spilia-Ayios Theodoros road,,Some,No,No,No,No,No,None,Excellent: almost entirely complete,"Cadastral Plot number 143 or 145Halfway up end of spur, overlooking Kourdali river. West-facing. Remains of built terraces below, on river terrace 40 m across and 60 m long. Rough ground and pine above. No sign of modern cairn in area (though didn't look very hard).","Square in plan, tapering to irregular top. Large chunks of gabbro, some extending across entire width. Thickly plastered inbetween rocks. Creamy yellow whitewash, surviving best on plaster.",493234.00,686.00,MJG,15/3/2002 00:00:00,Yes,No,None,No,No,,No,No,Philanti,No,No,Yes,3873740.00,Yes,,TP068,None,No,No,MJG,15/3/2002 00:00:00,,No,No,No,No,,,,Yes,None,No,GPS,Masonry forest cairn,MJG,No,None,No,Steep hillslope,"Pine, cistus, asphodel, moss, grass, hawthorn",No,Ayios Theodhoros,10.00
From Spilia-Ayios Theodhoros road (or track on west side of valley),,Some,No,No,No,No,No,None,Top broken off,"East-facing slope, just above abandoned terraces","Fairly squat, square in plan. Traces of creamy-yellow whitewash, mainly but not entirely on plaster",493033.00,726.00,MJG,15/3/2002 00:00:00,Yes,No,None,No,No,,No,No,Teratsia,No,No,Yes,3873166.00,Yes,,TP069,None,No,No,MJG,15/3/2002 00:00:00,,No,No,No,No,,,,Yes,None,No,GPS,Masonry forest cairn,MJG,No,None,No,Hillslope,"Pine, cistus, asphodel",No,Ayios Theodhoros,
"Spilia-Ayios Theodhoros road, or just above track on west side of valley",,Abundant,No,No,Yes,Yes,No,None,"Walls survive for most of the way round, up to about 60 cm high.","Classic position on end of spur looking across valley to E, and up valley to S (Spilia not visible). N obscured by the next spur. cf. the spur churches in the Karkotis valley","See plan. Apse filled in by rough wall. Stack of stone and tile in NE corner. Extra room on S. Approx 12 x 4 m. Bottles: brown & green beer bottles, clear brandy bottles, plastic oil bottles. Apparently for oil and dedication, rather than partying... Relatively recent; certainly deposited well after the abandonment & collapse of church. 15 March 2002.Surviving walls of church stand between 0.5 and 1m tall. There is some evidence of repair/rebuilding, especially on the internal/dividing wall.Overlooks Karterouni on the far side of the valley. 26 July 2002",492925.00,752.00,MJG,15/3/2002 00:00:00,No,No,None,No,No,,No,No,Ayios Yeoryios,No,Yes,Yes,3873325.00,No,,TP070,None,No,No,MJG,15/3/2002 00:00:00,,No,No,No,No,,,,Yes,None,No,GPS,Ruined church of Ayios Yeoryios,MJG,No,Some,No,End of spur,"Cistus, glorious asphodel, white pea/vetch, pine, grass",No,Ayios Theodhoros,10.00
Ayios Theodhoros-Spilia road; above track along west side of valley,,Abundant,No,No,No,No,No,None,Ruinous,"Higher up on the same spur as church of Ayios Yeoryios. NB this spur stands out from all surrounding ones by lushness of vegetation, above all the incredibly thick asphodel (the pea/vetch is everywhere). No arable land, other than that down by river","Jumble of very overgrown rubble piles and walls. It'll be a challenge to map it so it's meaningful... Some rooms and structures still discernible. Very similar in situation and survival to Aspri. Healthy amount of pottery around. One relatively recently broken kouza, in large pieces: presumably deposited well after the abandonment of the settlement. Buried pithos, with intact rim c. 25 cm below surface level; 3/4 full of earth. 15 March 2002.Located on spur extending south from main spur running into valley. Marked on 1:50,000 as 'Church of Ayios Yeoryios' and on Cadastral plan as 'Ayios Yeorgios Church (In ruins).' Cadastral shows a possible enclosure (Plot 149), marked as a Christian cemetery, around a building. On the ground identified two separate clusters of structures, a road and the church (TP070).Cluster 1: 3 adjoining rooms in L-shape and 1 outlier. Buried pithos and broken kouza are to south of L-shape, also part of circular grinding stone made marine terrace rock.Cluster 2: Located halfway down spur toward church. 5-7 rectangular and ovoid structures, some of which are segmented. Poor preservation. Possible goat folds in north-west of cluster. Some pottery on the ground around the structures. Weathered, sawn pine stumps in southern structure. Tree rings unclear, but stumps may give ideas for the date of abandonment.Road: Located to north of Cluster 1 at 492886/3873465, elev. 744m. Associated with clusters 1 & 2 and possibly church. May connect to Karterouni. Runs north/south. 26 July 2002.",492880.00,760.00,MJG,15/3/2002 00:00:00,No,No,None,No,No,,No,No,Ayios Yeorgios,No,Yes,No,3873420.00,No,,TP071,Some,No,No,MJG,15/3/2002 00:00:00,,No,No,Yes,No,,,,Yes,None,No,GPS,Ruined settlement on spur above Ayios Yeoryios church,MJG,No,Some,No,Spur,"Asphodel, white-flowered pea/vetch; hawthorn, pine, cistus",No,Ayios Theodhoros,20.00
Spilia-Ayios Theodhoros road,,None,No,No,No,No,No,None,"Excellent, apart from a couple of small hawthorns growing up through them. Could easily be cleaned up.",Below main part of village and the 'middle terraces'; seem to be sited down here so that they're not sheltered from the wind by the big spur to the north of Karterouni.,"Three threshing floors dug into spur, with dry stone retaining walls above them. Upper one is paved. Not fully audited as no paper form. Grid reference comes from GIS.",493255.00,,MJG,15/3/2002 00:00:00,Yes,No,None,No,No,,No,No,Karterouni,No,Yes,Yes,3873335.00,No,,TP072,None,No,No,MJG,15/3/2002 00:00:00,,No,No,No,No,,,TS14,No,None,No,,Threshing floors at Karterouni,MJG,Yes,None,No,Hillslope,Grass; pine; hawthorn,No,Ayios Theodhoros,50.00
Spilia-Ayios Theodhoros road,,None,No,No,No,No,No,None,,,"Easy place to cross stream, presumably made into a ford: clear track on E; relatively clear path on W. Connects the western terraces to the eastern ones and Karterouni. Stream has deposited some very worn pottery right on the ford, c. 20 pieces in a 5 m stretch. Just on outside of bend. Where's it come from?Track winds pleasant up through the terraces on the east, about 2 m wide. Seems ot peter out in gully just before main Spilia - Ayios Theodhoros road.Not fully audited as no paper form",493130.00,700.00,MJG,15/3/2002 00:00:00,No,No,None,No,No,,No,No,Karterouni,No,Yes,Yes,3873320.00,No,,TP073,Some,No,No,MJG,15/3/2002 00:00:00,,Yes,No,No,No,,,TS14,No,None,No,,Ford and track at Karterouni,MJG,No,Some,No,Bottom of steep V-shaped river  valley,bramble,No,Ayios Theodhoros,50.00
Close to Ayia Marina Road,,None,No,No,No,No,No,None,Good,"At the base of earthen terrace on terraced field. Rubbish on top of terrace and rusted buckets, drum next to well and plastic bucket with string. Stone built terraces. In valley with numerous terraces close to base of hillslope. Jasper outcrop. Fig tree indicative of source of water - aquifer running down hill? Manky water!","Pottery:  19th / 20th century - recent glazed piece, recent Kouza (water jug) coarsewareDepth:  450cm to bottom; 250cm to water. Opening:  approx 47cm squaredLining:  dry stone with chinkingSmall amount of jasper in constructionBasalt",503940.00,402.00,RJM,4/7/2002 00:00:00,No,No,None,No,No,Xyliatos,No,No,Tholos,No,No,Yes,3878800.00,Yes,,TP074,Some,No,No,RJM,4/7/2002 00:00:00,,No,No,No,No,,,,Yes,Some,No,GPS,Stone lined well,AGR,No,Some,No,Base of terrace on terraced field,"Cistus, Pinus brutia, hawthorn, thyme, thorny burnet, fig, almond",No,Ayia Marina,70.00
Easily accessible between back road from Ayia Marina and Memi mine,,None,No,No,No,No,Yes,None,Bulldozer backfill in the adit,Bulldozed terracesAlmond grove,Deep:  100cmHorizontal:  150cmVertical:  50cmBasaltCopper oxide staining prominentPhotos: 3 from E by JSN in D-028,504015.00,463.00,RJM,4/7/2002 00:00:00,Yes,No,None,Yes,No,Xyliatos,No,No,Motis,Yes,No,No,3878370.00,No,,TP075,None,No,No,RJM,4/7/2002 00:00:00,,No,No,No,No,29-XXVII,,,Yes,None,No,Aerial,Adit in bulldozed terrace,AGR,No,None,No,In series of bulldozed terraces,"Capers, almonds, wild oats, wild thyme, young pine",No,Ayia Marina,40.00
Backroad from Ayia Marina to Memi mine,,None,No,No,No,No,Yes,None,Poor (lower one in quite bad state of collapse).,A broad gully narrowing to the south which has been left to go wild.,"Upper dam is in the broad part of the gully with the lower one in the steeper part. Lower Check dam: 7 courses of rough stones at the centre with 3 courses at each end forming the shape of a lense. Larger basalt blocks on outer facing with a fill of smaller more angular blocks (down to very large pebble size). NW part has collapsed providing quite a useful view of the core. Width: 2.6m. Height: 0.9m. Thickness: 0.8mUpper Check Dam: Width: c. 11mConstructed of small basalt boulders, blocks smaller and more angular than in the lower check dam.",504025.00,442.00,ASM,7/7/2002 00:00:00,No,No,None,No,No,Xyliatos,No,No,Sykia tou Kaiserili,No,Yes,Yes,3878035.00,No,,TP076,None,No,No,ASM,7/7/2002 00:00:00,,No,No,No,No,29-XXVII,,,Yes,None,No,Aerial,2 check dams in a gully,AGR,No,None,No,In a gully,"Wild thyme, young pine, wild barley, hawthorn",No,Ayia Marina,10.00
Back road from Ayia Marina to Memi mine,,None,No,No,No,No,No,None,Surface still intact but overgrown; reinforced cut collapsing in places,"Between almond grove and terracing below with younger pine on the upper part of the terracing and older pine further down. Hawthorn along the pathway on either side, wild thyme on path surface in places.",Section of path through transect line runs SW/NE. Cut into hillside and reinforced with angular basalt. This cut is up to 60cm in height; width of path up to 130cm.Hard packed surface with bedrock visible in places. Embankment is up to 80cm in height on transect line - enough width for 2 donkeys (according to JSN but disputed by SED). The path surface narrows and erodes badly to NE.,504000.00,449.00,ASM,7/7/2002 00:00:00,No,No,None,No,No,Xyliatos,No,No,Sykia tou Kaiserili,No,No,No,3877920.00,No,,TP077,None,No,No,ASM,7/7/2002 00:00:00,,Yes,No,No,No,29-XXVII,,,Yes,None,No,Aerial,Path/roadway,AGR,No,None,No,Hillside,"Pine, spiny burnet, wild barley/oats, hawthorn. Almonds, wild thyme.",No,Ayia Marina,10.00
Back road from Ayia Marina to Memi Mine,,None,No,No,No,No,No,None,Poor - collapsed,Concentration of spiny burnet below the house and wild thyme above and to the sides. Young pines creeping up the hill. Dry stack terracing above it and check dams below it (TP075).,Across back wall -- 4.20 metresAcross the front -- 6.20 metresDepth across middle -- 2.40 metresCollapsed field house cut into hillside with a stone lined back and side walls. Front wall has collapsed into back wall. A number of the stones are heavily lichenated suggesting it has been collapsed for some time. JSN mentioned he had never seen one at such a low elevation before - it is a typical mountain field house construction.,504060.00,477.00,RSB,8/7/2002 00:00:00,No,No,None,No,No,Xyliatos,No,No,Sykia tou Kaiserili,No,Yes,Yes,3878045.00,Yes,,TP078,None,No,No,ASM,8/7/2002 00:00:00,,No,No,No,No,29-XXVII,,,Yes,None,No,Aerial,Collapsed field house,AGR,No,None,No,Hillside,"Wild oats, wild thyme, hawthorn, spiny burnet, young pine",No,Ayia Marina,50.00
Agricultural road off back road between Ayia Marina and Memi Mine,,None,No,No,No,No,Yes,None,Good,"Check dam between two basalt dykes within a series of check dams in a gully (4 check dams noted including this one).Some red and green jasper, with more green than red.","Height at highest point -- 3 metresLength and longest point -- 7.20 metresDry stone construction of numerous different igneous rocks (iron and copper rich). Larger construction at the base with smaller more angular blocks above.  Larger blocks up to 55cm across.  Smaller blocks down to approx. 10cm across on upper layers.Appears to be 2 possible phases of construction, second one mainly of smaller blocks.",504060.00,407.00,RSB,8/7/2002 00:00:00,No,No,None,No,No,Xyliatos,No,No,Lovarkatis,No,Yes,Yes,3877690.00,No,,TP079,None,No,No,ASM,8/7/2002 00:00:00,,No,No,No,No,29-XXVII,,,Yes,None,No,Aerial,Check dam below within a series of check dams in a gully,AGR,No,None,No,In a gully crossed with two dykes with inweathering between them,"Almonds, wild oats, spiny burnet",No,Ayia Marina,50.00
Agricultural road off back road between Ayia Marina and Memi Mine,,None,No,No,No,No,No,None,Collapsed,Terraced hillside -- dry stack and chinkingCheck dam is on second order gully coming from SSE leading into large third order gully with check dams (TP079).,Front -- 4.80 metresWidest point -- 2.8 metresDistance to terraced wall -- 0.9 metresThe collapsed structure is situated within the curved check dam 0.9 metres behind it.,504050.00,409.00,RSB,8/7/2002 00:00:00,No,No,None,No,No,Xyliatos,No,No,Lovarkatis,No,Yes,Yes,3877680.00,Yes,,TP080,None,No,No,ASM,8/7/2002 00:00:00,,No,No,No,No,20-XXVII,,,Yes,None,No,Aerial,Possible field shelter/pen,AGR,No,None,No,Behind a track on an anthropogenic terrace,"Spiny burnet, wild oats, almonds, capers, centurion thistle",No,Ayia Marina,70.00
